model,attack_type,epsilon,mean,sd,n
ResNet-50,CW,0.0,97.44570413877885,0.5520478205573236,5
ResNet-50,FGSM,0.01,42.008605381778445,11.396653022246895,5
ResNet-50,FGSM,0.02,11.427400628329458,3.3033940309395264,5
ResNet-50,FGSM,0.05,2.343942084414694,0.2480589601344487,5
ResNet-50,FGSM,0.1,2.016800983472196,0.511744527094558,5
ResNet-50,PGD,0.01,50.91176068843055,14.906417299244373,5
ResNet-50,PGD,0.02,22.113782270181666,9.332377010254962,5
ResNet-50,PGD,0.05,2.981833082912166,0.4158841684403436,5
ResNet-50,PGD,0.1,2.023630651550328,0.2870248758046301,5
EfficientNet-B3,CW,0.0,98.77953831443793,0.06992492883064873,5
EfficientNet-B3,FGSM,0.01,79.44474798524791,3.5536443806817943,5
EfficientNet-B3,FGSM,0.02,37.360333287802206,6.5990890737876144,5
EfficientNet-B3,FGSM,0.05,4.903701680098342,2.90858977897966,5
EfficientNet-B3,FGSM,0.1,2.46755907662887,0.7820215992583877,5
EfficientNet-B3,PGD,0.01,82.36921185630379,5.645498918264162,5
EfficientNet-B3,PGD,0.02,44.08619041114601,10.096515247196205,5
EfficientNet-B3,PGD,0.05,8.08905887173883,2.8602669072764715,5
EfficientNet-B3,PGD,0.1,2.180713017347352,1.0646908205423058,5
ViT-B/16,CW,0.0,74.39352547466193,1.4479190288320507,5
ViT-B/16,FGSM,0.01,25.67886900696626,5.127855946385171,5
ViT-B/16,FGSM,0.02,9.18522059827892,1.5009067738175774,5
ViT-B/16,FGSM,0.05,2.7926512771479244,0.5330171998429871,5
ViT-B/16,FGSM,0.1,2.7366479989072476,0.7936481314006265,5
ViT-B/16,PGD,0.01,33.45376314711105,4.864476695467655,5
ViT-B/16,PGD,0.02,13.457860947957922,1.5978595599267187,5
ViT-B/16,PGD,0.05,3.6190411146018255,0.5129212589411923,5
ViT-B/16,PGD,0.1,2.511951919136724,0.42506523058346707,5
