dataset,model,seed,num_classes,epochs_trained,best_val_acc,test_loss,test_acc,elapsed_sec
atrnet_star,resnet50,4,40,50,0.9766485533852254,0.09442873300796664,0.9755156399398989,8137.83765745163
atrnet_star,resnet50,1,40,50,0.9775297400499339,0.0886343275198515,0.9776328370441196,8173.948827266693
atrnet_star,resnet50,2,40,50,0.975767366720517,0.09271605404733742,0.9770864635978691,8232.719717025757
atrnet_star,resnet50,0,40,50,0.9769422822734616,0.09352306397991249,0.976403496790056,8258.284317493439
atrnet_star,resnet50,3,40,50,0.9785577911587605,0.08938371282668496,0.9776669853845104,8306.487704753876
atrnet_star,efficientnet_b3,0,40,50,0.9889851666911441,0.057947779836824725,0.9873992623958475,8985.356516122818
atrnet_star,efficientnet_b3,4,40,50,0.9883977089146717,0.053949024584946596,0.9887310476710832,9013.28140926361
atrnet_star,efficientnet_b3,1,40,50,0.9898663533558526,0.055911913308597946,0.9887310476710832,9013.665496349335
atrnet_star,efficientnet_b3,2,40,50,0.9872227933617271,0.05533171802621408,0.9885603059691299,9046.36672782898
atrnet_star,efficientnet_b3,3,40,50,0.9875165222499633,0.05518873006047408,0.988457860947958,9055.447258234024
atrnet_star,vit_b_16,2,40,50,0.7444558672345425,1.3689636233206632,0.7484633246824204,9289.951924324036
atrnet_star,vit_b_16,0,40,50,0.7300631517109708,1.5498672057789107,0.7235691845376314,9359.975661277771
atrnet_star,vit_b_16,3,40,50,0.7600234983110589,1.3971409210136785,0.7543368392296135,9329.043324708939
atrnet_star,vit_b_16,1,40,50,0.7444558672345425,1.4584718987118737,0.7498634066384374,9401.325241565704
atrnet_star,vit_b_16,4,40,50,0.7485680716698487,1.3704518777265324,0.7591517552246961,9305.11379313469
